alpha_target,delta,n,false_unlock,fu_lo,fu_hi,err_H0,err_H1
0.1,0.001,500,0.072,0.0524580314181262,0.09806840401696253,0.002,0.002
0.05,0.001,500,0.04,0.026040797389777257,0.060973595834850805,0.0,0.002
0.01,0.001,500,0.014,0.00679778979084349,0.02861306913778529,0.002,0.0
