misspec,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,median_tau,q95_tau,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,false_unlock_ci_lo,false_unlock_ci_hi,failed_unlock_rate,mean_relocks,mean_N1,mean_N2
0.0,0,200,55.05,49.655910340537936,60.44408965946206,42.5,127.8999999999997,0.025,0.010724719651761264,0.05717834040664198,0.0,1.734723475976807e-18,0.018845326377266575,0.025,,51.765,3.285
0.0,1,200,71.045,65.32776131404455,76.76223868595545,59.0,149.0,0.01,0.0027466581335444384,0.0357217617161768,0.035,0.017055542008567192,0.07047061152229073,0.0,,70.73,0.315
0.01,0,200,50.75,46.05034090019236,55.44965909980764,41.5,120.04999999999998,0.0,1.734723475976807e-18,0.018845326377266575,0.0,1.734723475976807e-18,0.018845326377266575,0.0,,47.66,3.09
0.01,1,200,78.18,71.97559408948429,84.38440591051572,67.0,173.0,0.0,1.734723475976807e-18,0.018845326377266575,0.015,0.00511423779325831,0.04316572879269026,0.0,,77.995,0.185
0.05,0,200,43.49,39.48754406589655,47.492455934103454,37.0,96.0,0.0,1.734723475976807e-18,0.018845326377266575,0.0,1.734723475976807e-18,0.018845326377266575,0.0,,40.715,2.775
0.05,1,200,72.105,66.15002219659148,78.05997780340853,60.0,149.09999999999997,0.01,0.0027466581335444384,0.0357217617161768,0.09,0.05768744886219316,0.13776571876716542,0.0,,71.31,0.795
0.1,0,200,35.145,31.881597263585455,38.40840273641455,29.0,80.04999999999998,0.01,0.0027466581335444384,0.0357217617161768,0.0,1.734723475976807e-18,0.018845326377266575,0.01,,32.4,2.745
0.1,1,200,60.675,54.59027079967067,66.75972920032933,50.5,145.14999999999995,0.025,0.010724719651761264,0.05717834040664198,0.115,0.07786373232561955,0.16664716898487572,0.0,,59.69,0.985
