delta,alpha,emp_mean_tau,mean_overshoot,q95_overshoot,Kc,Kf,L_delta,U_thr,U_bd,boundary_factor,overshoot_factor,total_factor
0.1,0.39810717055349726,11.19,0.12933155285872908,0.2505015221424558,0.5546152474560827,1.7577796618689758,8.186847589544948,12.854471784792352,20.72930268983855,1.570136935394793,1.6126141187973682,2.532024990462874
0.05,0.30170881682725814,19.1,0.1787310676322688,0.3097148865396906,0.9578189753716853,2.649995081249796,13.674974053433857,16.72405337043116,24.598884275477356,1.2229678319741795,1.4708685586335926,1.798824932271111
0.01,0.15848931924611134,26.923333333333332,0.16945756640309567,0.32664965714013405,1.7693714250255752,4.5032174531318985,24.790273891534746,25.708943569584704,33.5837744746309,1.0370576655211405,1.3063070593986839,1.3547157494737851
0.001,0.06309573444801932,41.28333333333333,0.14688761095630357,0.28060590844379013,2.7524969285422296,6.892941269091257,38.42946843501644,38.56341535437706,46.43824625942325,1.0034855262072417,1.2042047062657892,1.2084019933283625
