regime,d_w,d_s,d_ratio,theoretical_PoC,empirical_PoC,gated_mean_tau,oracle_mean_tau,gated_error,oracle_error
easy,0.8317766166719343,2.649995081249796,3.185945635082689,1.8743782540330756,1.9375000000000002,4.133333333333334,2.1333333333333333,0.0,0.0
moderate,0.08228287850505184,0.8317766166719343,10.108744756916428,4.643497902766572,4.168341708542713,27.65,6.633333333333334,0.0,0.016666666666666666
hard,0.020135513550688863,0.33891914415488145,16.831909615897857,7.332763846359143,8.605633802816902,122.2,14.2,0.03333333333333333,0.0
very_hard,0.005008366846356839,0.18571176252186716,37.08030346398381,15.432121385593522,11.921052631578947,362.4,30.4,0.0,0.0
large_gap,0.08228287850505184,4.5032174531318985,54.728487079549836,22.491394831819935,12.868852459016395,26.166666666666668,2.033333333333333,0.03333333333333333,0.0
