regime,d_w,d_s,d_ratio,theoretical_PoC,empirical_PoC,gated_mean_tau,oracle_mean_tau,gated_error,oracle_error
easy,0.8317766166719343,2.649995081249796,3.185945635082689,1.8743782540330756,1.9815229563269878,4.42375,2.2325,0.00375,0.0025
moderate,0.08228287850505184,0.8317766166719343,10.108744756916428,4.643497902766572,4.13914198936978,27.25625,6.585,0.00375,0.00125
hard,0.020135513550688863,0.33891914415488145,16.831909615897857,7.332763846359143,7.395720524017467,105.85125,14.3125,0.0125,0.00375
very_hard,0.005008366846356839,0.18571176252186716,37.08030346398381,15.432121385593522,13.99747380239521,374.0125,26.72,0.005,0.00625
large_gap,0.08228287850505184,4.5032174531318985,54.728487079549836,22.491394831819935,11.641025641025642,23.835,2.0475,0.0125,0.0
