misspec,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,median_tau,q95_tau,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,false_unlock_ci_lo,false_unlock_ci_hi,failed_unlock_rate,mean_relocks,mean_N1,mean_N2
0.0,0,2000,54.9795,53.31917119870883,56.63982880129117,45.0,129.0,0.01,0.006482767876552687,0.015395938459075187,0.0,1.0842021724855044e-19,0.001917047281252934,0.01,,51.9365,3.043
0.0,1,2000,73.8245,71.90511890977147,75.74388109022853,63.0,159.0,0.0045,0.0023692806369618345,0.008530513218759823,0.036,0.02868460672278366,0.04509441315421905,0.0,,73.4595,0.365
0.01,0,2000,51.393,49.791042890240895,52.994957109759106,41.0,122.0,0.0085,0.005313767739685552,0.013570689737786079,0.0,1.0842021724855044e-19,0.001917047281252934,0.0085,,48.243,3.15
0.01,1,2000,72.8885,70.9426348980652,74.8343651019348,62.0,161.04999999999995,0.0075,0.004550377435809225,0.012337914136224913,0.0525,0.04355496702511128,0.06316079029161008,0.0,,72.3105,0.578
0.05,0,2000,43.312,41.98337774218775,44.64062225781225,35.0,103.0,0.008,0.0049302968532159265,0.012956077671536958,0.0,1.0842021724855044e-19,0.001917047281252934,0.008,,40.4105,2.9015
0.05,1,2000,70.8735,68.89955313164509,72.84744686835492,59.5,160.04999999999995,0.0165,0.01177282360725337,0.023080961113718216,0.083,0.07169373071300192,0.09590508671956302,0.0,,70.099,0.7745
0.1,0,2000,34.4295,33.38396843003913,35.47503156996086,28.0,81.0,0.0085,0.005313767739685552,0.013570689737786079,0.0,1.0842021724855044e-19,0.001917047281252934,0.008,,31.721,2.7085
0.1,1,2000,65.069,63.08344740162091,67.0545525983791,53.0,153.0999999999999,0.0225,0.01685787548400037,0.02997290466959618,0.135,0.1207213108764002,0.1506781336389144,0.0,,63.729,1.34
