L,delta,C_gate,emp_norm_tau,mean_tau,error_rate,failed_unlock_rate,PoC_theory,d1,dL
2,0.02,40.25328435339898,39.54475722288577,154.7,0.023333333333333334,0.023333333333333334,14.815793191461868,0.012855180367791832,0.36806420716849714
3,0.02,29.611212819306814,29.23466107126074,114.36666666666666,0.03,0.03,10.898827569635802,0.012855180367791832,0.36806420716849714
5,0.02,22.50653876464536,22.316671760926553,87.30333333333333,0.013333333333333334,0.013333333333333334,8.283851346516242,0.012855180367791832,0.36806420716849714
10,0.02,18.318229490320633,20.258912900912136,79.25333333333333,0.013333333333333334,0.013333333333333334,6.742284614085447,0.012855180367791832,0.36806420716849714
