L,C_gate,PoC,d1,dL
2,10.5,10.5,0.05,1.0
3,8.49071198499986,8.49071198499986,0.05,1.0
5,7.408858914382494,7.408858914382494,0.05,1.0
10,6.810725865209381,6.810725865209381,0.05,1.0
