epsilon,weak_KL,approx_samples_to_certificate
0.0,0.0,inf
0.005,5.0000833366667906e-05,59913.64687035473
0.01,0.00020001333546712519,14977.662697127405
0.02,0.0008002134699838133,3743.6663914375104
0.05,0.005008366846356839,598.1455363504635
0.1,0.020135513550688863,148.7785382782801
