delta,rho,n_trials,theory_poc,empirical_poc,poc_ci_lo,poc_ci_hi,gated_mean_tau,oracle_mean_tau,gated_cap_hit
0.1,0.5,800,27.86424353977492,14.215,13.35240625,15.0739375,14.215,1.0,0.0
0.03,0.5,800,27.86424353977492,24.3825,22.96359375,25.845062499999997,24.3825,1.0,0.0
0.01,0.5,800,27.86424353977492,15.110701107011067,14.317933058016083,16.018080444024132,30.7125,2.0325,0.0
0.003,0.5,800,27.86424353977492,19.06196840826245,18.169621212121214,20.046088000741285,39.22,2.0575,0.0
