activity,activity_name,n,error_rate,error_ci_lo,error_ci_hi,mean_tau,mean_sensor_cost,cap_rate
1,sitting,150,0.0,1.734723475976807e-18,0.0249702443680766,2.04,4.74,0.0
2,standing,150,0.0,1.734723475976807e-18,0.0249702443680766,3.1066666666666665,5.673333333333333,0.0
5,ascending_stairs,150,0.0,1.734723475976807e-18,0.0249702443680766,1.0466666666666666,1.14,0.0
6,descending_stairs,150,0.006666666666666667,0.0011778013350174366,0.03679283977481815,1.74,3.74,0.0
9,walking_parking,150,0.8266666666666667,0.7581400726100628,0.8788793677361272,5.7,12.86,0.0
12,treadmill_run,150,0.0,1.734723475976807e-18,0.0249702443680766,1.0,1.0,0.0
